Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly_Average
2015,5.589,5.472,5.367,5.211,4.940,5.059,5.184,5.410,5.734,5.899,5.847,5.734,5.4547
2016,5.656,5.394,5.494,5.613,5.552,5.374,5.454,5.448,5.481,5.375,5.106,5.102,5.4216
2017,5.180,5.334,5.745,5.775,5.699,5.665,5.819,6.241,6.366,6.066,5.708,5.629,5.7698
2018,5.654,5.533,5.527,5.421,5.452,5.247,5.418,5.577,5.501,5.370,5.392,5.502,5.4669
2019,5.518,5.502,5.608,5.552,5.812,5.878,5.701,5.576,5.571,5.653,5.505,5.474,5.6125
2020,5.505,5.497,5.257,5.346,5.348,5.772,5.776,5.559,5.619,5.722,5.754,5.831,5.5821
2021,5.831,5.778,5.852,6.215,6.346,6.670,6.857,7.096,7.220,7.317,7.265,7.211,6.6383
2022,7.222,7.097,7.203,7.422,7.364,7.403,7.415,7.372,7.383,7.608,7.243,6.956,7.3107
2023,6.808,6.595,6.613,6.549,6.339,6.224,6.236,6.502,7.083,7.223,6.899,6.774,6.7321
2024,6.614,6.560,6.609,6.637,6.818,6.827,6.883,6.785,6.955,6.869,6.843,6.915,6.7329
2025,7.044,6.798,6.978,7.009,6.985,7.098,7.118,7.208,7.290,,,,7.0665
