Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly_Average
2015,3.211,3.221,3.176,2.971,3.045,3.020,3.031,3.103,3.124,3.155,3.015,2.901,3.081
2016,2.937,2.928,2.950,2.882,2.909,3.076,3.072,3.098,3.135,3.105,3.037,2.906,3.011
2017,2.822,2.863,2.994,2.859,2.864,3.093,3.155,3.142,3.108,3.224,2.972,2.914,3.009
2018,2.860,2.888,3.008,2.935,3.135,3.130,3.174,3.194,3.219,3.077,3.010,2.902,3.047
2019,2.918,2.878,3.131,3.063,3.095,3.130,3.238,3.320,3.343,3.431,3.180,3.035,3.147
2020,3.110,3.130,3.376,,,,,,,3.476,3.344,3.261,3.283
2021,3.441,3.683,3.511,3.548,3.638,3.773,3.711,3.747,3.831,3.921,3.853,3.707,3.697
2022,3.891,4.060,4.055,3.924,3.938,4.117,4.083,4.213,4.339,4.437,4.278,4.048,4.115
2023,4.298,4.370,4.340,4.210,4.396,4.444,4.531,4.569,4.563,4.662,4.522,4.400,4.450
2024,4.412,4.517,4.475,4.487,4.575,4.562,4.710,4.691,4.595,4.660,4.560,4.406,4.554
2025,4.411,4.428,4.496,4.451,4.451,4.401,4.660,4.501,4.533,,,,4.481
