Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly_Average
2015,5.401,5.480,5.384,5.384,5.312,5.256,5.376,5.336,5.382,5.478,5.433,5.328,5.370
2016,5.411,5.369,5.364,5.399,5.365,5.269,5.184,5.272,5.023,5.352,4.914,4.895,5.269
2017,4.933,4.967,4.799,4.794,4.748,4.797,4.851,4.862,5.010,5.028,5.006,4.950,4.895
2018,5.021,5.082,5.064,5.030,5.131,5.234,5.065,5.118,5.128,5.158,5.229,5.360,5.135
2019,5.372,5.247,5.193,5.290,5.327,5.254,5.349,5.367,5.406,5.277,5.309,5.302,5.309
2020,5.204,5.381,5.329,5.453,5.558,5.619,5.517,5.572,5.611,5.583,5.589,5.540,5.495
2021,5.656,5.600,5.682,5.441,5.421,5.386,5.392,5.336,5.387,5.396,5.326,5.257,5.440
2022,5.315,5.447,5.486,5.656,5.645,5.777,5.855,5.995,6.084,5.960,5.933,5.995,5.770
2023,5.946,5.850,5.922,5.940,5.841,5.681,5.911,5.897,5.846,5.846,5.650,5.545,5.830
2024,5.724,5.726,5.689,5.510,5.551,5.537,5.599,5.763,5.731,5.844,5.676,5.621,5.664
2025,5.698,5.536,5.737,5.743,5.908,5.999,6.041,6.123,6.049,,,,5.759
