Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Yearly_Average
2015,4.235,4.238,4.200,4.231,4.136,4.221,4.200,4.159,4.126,4.083,4.113,4.060,4.170
2016,3.978,3.964,3.955,3.815,3.717,3.725,3.690,3.657,3.665,3.679,3.597,3.559,3.726
2017,3.553,3.557,3.594,3.547,3.559,3.679,3.754,3.732,3.707,3.688,3.638,3.708,3.649
2018,3.641,3.642,3.657,3.730,3.685,3.729,3.745,3.792,3.743,3.714,3.781,3.725,3.712
2019,3.801,3.758,3.725,3.775,3.822,3.812,3.800,3.819,3.851,3.841,3.812,3.862,3.818
2020,3.886,3.865,3.881,4.052,4.461,4.737,4.264,4.177,4.076,4.008,4.027,3.951,4.116
2021,3.965,3.987,4.042,4.096,4.101,4.357,4.388,4.468,4.504,4.719,4.716,4.604,4.390
2022,4.554,4.630,4.757,4.916,4.794,4.889,4.893,4.937,4.862,4.836,4.853,4.800,4.833
2023,4.791,4.778,4.813,4.790,4.960,5.028,5.102,5.076,5.109,5.226,5.353,5.210,5.021
2024,5.030,5.132,5.132,5.236,5.148,5.472,5.497,5.577,5.670,5.588,5.628,5.605,5.393
2025,5.545,5.625,5.790,5.801,5.981,6.120,6.254,6.318,6.323,,,,6.066
