food_category_id,representative_description,count,unique_descriptions
1.0,"Cheese, parmesan, grated, refrigerated",351,2825
2.0,Salt; iodized,73,255
4.0,"OIL, SAFFLOWER",620,68
5.0,"chicken, breast, boneless, skinless",160,1515
6.0,Salsa,36,477
7.0,Hot dogs beef,77,108
9.0,"applesauce, unsweetened, with vit C added",440,1555
10.0,Bacon,201,31
11.0,"SPINACH, BABY",530,1496
12.0,"sesame seed butter (tahini), creamy",456,118
13.0,"beef, ribeye steak, boneless",156,463
14.0,"ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE",1858,6
15.0,"crab, blue swimming, lump, pasteurized, refrigerated",160,724
16.0,"SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE",2272,1121
17.0,"Lamb, ground, raw",97,2
18.0,"OATMEAL COOKIES WITH RAISINS, STORE/OTHER BRAND",72,357
19.0,"Sugars, granulated",2,53
20.0,"Flour, whole grain oat",232,86
25.0,"Restaurant, Chinese, sweet and sour pork",2,473
